Cancer,Country,Total Coverage %
Brain,Algeria,N/A
Brain,American Samoa,97.29
Brain,Argentina,68.85
Brain,Australia,94.9
Brain,Austria,97.19
Brain,Belgium,93.3
Brain,Brazil,96.78
Brain,Bulgaria,98.89
Brain,Burkina Faso,88.68
Brain,Cameroon,89.22
Brain,Cape Verde,92.83
Brain,Central African Republic,25.82
Brain,Chile,93.06
Brain,China,91.28
Brain,Colombia,9.86
Brain,Croatia,98.5
Brain,Cuba,91.1
Brain,Czech Republic,98.75
Brain,Ecuador,70.6
Brain,England,99.32
Brain,Equatorial Guinea,39.94
Brain,Finland,99.94
Brain,France,99.33
Brain,Georgia,98.55
Brain,Germany,99.7
Brain,Guatemala,1.99
Brain,Guinea-Bissau,85.98
Brain,Hong Kong,81.01
Brain,India,87.9
Brain,Indonesia,80.46
Brain,Iran,96.25
Brain,Ireland Northern,99.75
Brain,Ireland South,99.71
Brain,Israel,89.5
Brain,Italy,99.3
Brain,Ivory Coast,53.67
Brain,Japan,98.12
Brain,Jordan,83.24
Brain,Kenya,91.19
Brain,Korea; South,96.87
Brain,Lebanon,71.7
Brain,Macedonia,22.42
Brain,Malaysia,75.78
Brain,Mali,97.5
Brain,Mexico,98.03
Brain,Mongolia,67.51
Brain,Morocco,95.67
Brain,New Caledonia,96.64
Brain,Oman,94.95
Brain,Pakistan,84.26
Brain,Papua New Guinea,95.16
Brain,Peru,97.34
Brain,Philippines,99.02
Brain,Poland,99.48
Brain,Portugal,97.03
Brain,Romania,97.29
Brain,Russia,98.53
Brain,Rwanda,30.11
Brain,Sao Tome and Principe,78.2
Brain,Saudi Arabia,95.66
Brain,Scotland,72.8
Brain,Senegal,90.53
Brain,Serbia,89.44
Brain,Singapore,90.24
Brain,South Africa,95.69
Brain,Spain,98.83
Brain,Sri Lanka,14.07
Brain,Sudan,94.89
Brain,Sweden,99.16
Brain,Switzerland,76.38
Brain,Taiwan,97.05
Brain,Thailand,91.35
Brain,Tunisia,96.01
Brain,Turkey,76.53
Brain,Uganda,94.24
Brain,United Arab Emirates,7.46
Brain,United Kingdom,88.03
Brain,United States,98.19
Brain,Venezuela,98.37
Brain,Vietnam,89.65
Brain,Wales,1.59
Brain,Zambia,97.45
Brain,Zimbabwe,93.01
Breast,Algeria,N/A
Breast,American Samoa,99.95
Breast,Argentina,94.36
Breast,Australia,99.89
Breast,Austria,99.91
Breast,Belgium,97.33
Breast,Brazil,99.6
Breast,Bulgaria,99.96
Breast,Burkina Faso,96.1
Breast,Cameroon,99.64
Breast,Cape Verde,98.49
Breast,Central African Republic,95.74
Breast,Chile,99.0
Breast,China,99.74
Breast,Colombia,11.58
Breast,Croatia,99.9
Breast,Cuba,98.18
Breast,Czech Republic,99.95
Breast,Ecuador,74.67
Breast,England,99.96
Breast,Equatorial Guinea,39.94
Breast,Finland,100.0
Breast,France,99.93
Breast,Georgia,99.89
Breast,Germany,99.99
Breast,Guatemala,3.94
Breast,Guinea-Bissau,97.4
Breast,Hong Kong,98.82
Breast,India,98.21
Breast,Indonesia,96.82
Breast,Iran,99.9
Breast,Ireland Northern,100.0
Breast,Ireland South,100.0
Breast,Israel,98.74
Breast,Italy,99.99
Breast,Ivory Coast,78.46
Breast,Japan,100.0
Breast,Jordan,95.74
Breast,Kenya,99.83
Breast,Korea; South,99.99
Breast,Lebanon,99.58
Breast,Macedonia,64.51
Breast,Malaysia,93.54
Breast,Mali,99.99
Breast,Mexico,99.99
Breast,Mongolia,85.91
Breast,Morocco,99.94
Breast,New Caledonia,99.98
Breast,Oman,99.55
Breast,Pakistan,98.62
Breast,Papua New Guinea,99.95
Breast,Peru,98.73
Breast,Philippines,100.0
Breast,Poland,99.99
Breast,Portugal,99.67
Breast,Romania,99.65
Breast,Russia,99.93
Breast,Rwanda,54.57
Breast,Sao Tome and Principe,94.82
Breast,Saudi Arabia,99.92
Breast,Scotland,80.33
Breast,Senegal,99.56
Breast,Serbia,98.46
Breast,Singapore,99.71
Breast,South Africa,99.67
Breast,Spain,99.96
Breast,Sri Lanka,47.44
Breast,Sudan,99.81
Breast,Sweden,99.97
Breast,Switzerland,98.23
Breast,Taiwan,99.99
Breast,Thailand,99.83
Breast,Tunisia,99.77
Breast,Turkey,82.17
Breast,Uganda,99.55
Breast,United Arab Emirates,21.68
Breast,United Kingdom,99.99
Breast,United States,99.76
Breast,Venezuela,99.91
Breast,Vietnam,99.93
Breast,Wales,4.16
Breast,Zambia,99.89
Breast,Zimbabwe,99.94
Cervix,Algeria,N/A
Cervix,American Samoa,84.81
Cervix,Argentina,69.02
Cervix,Australia,92.29
Cervix,Austria,84.09
Cervix,Belgium,78.75
Cervix,Brazil,93.41
Cervix,Bulgaria,94.98
Cervix,Burkina Faso,80.1
Cervix,Cameroon,85.85
Cervix,Cape Verde,67.5
Cervix,Central African Republic,33.0
Cervix,Chile,89.54
Cervix,China,80.56
Cervix,Colombia,8.87
Cervix,Croatia,85.13
Cervix,Cuba,76.32
Cervix,Czech Republic,96.6
Cervix,Ecuador,22.04
Cervix,England,96.66
Cervix,Equatorial Guinea,32.76
Cervix,Finland,98.83
Cervix,France,95.19
Cervix,Georgia,94.38
Cervix,Germany,98.09
Cervix,Guatemala,0.6
Cervix,Guinea-Bissau,57.67
Cervix,Hong Kong,45.32
Cervix,India,77.3
Cervix,Indonesia,49.06
Cervix,Iran,94.28
Cervix,Ireland Northern,98.74
Cervix,Ireland South,98.01
Cervix,Israel,84.05
Cervix,Italy,96.77
Cervix,Ivory Coast,33.19
Cervix,Japan,88.15
Cervix,Jordan,74.07
Cervix,Kenya,87.86
Cervix,Korea; South,85.96
Cervix,Lebanon,76.67
Cervix,Macedonia,21.61
Cervix,Malaysia,58.28
Cervix,Mali,94.48
Cervix,Mexico,98.48
Cervix,Mongolia,35.78
Cervix,Morocco,94.34
Cervix,New Caledonia,78.49
Cervix,Oman,85.79
Cervix,Pakistan,64.86
