Cancer,Area,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Brain,World,39.08,52.16,65.04,72.66,79.39,82.71,84.54,86.73,87.92,89.04,90.37,91.56,92.33,93.04,93.7,94.31,94.81,95.18,95.57,95.92,96.24,96.46,96.71,96.92,97.08,97.27,97.41,97.53,97.63,97.72,97.77,97.83,97.87,97.91,97.94,97.97,97.99,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,Central Africa,23.17,33.47,43.08,50.58,57.28,62.7,66.75,70.45,74.24,76.67,78.4,80.02,81.42,82.64,84.01,84.78,85.51,86.09,86.66,87.0,87.33,87.61,87.87,88.04,88.17,88.26,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,Central America,1.4,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,East Africa,21.52,37.41,47.03,55.86,61.69,66.72,70.78,74.59,77.93,79.97,81.77,83.46,84.83,86.29,87.18,87.99,88.71,89.4,89.8,90.23,90.54,90.89,91.12,91.38,91.55,91.71,91.84,91.97,92.06,92.15,92.23,92.27,92.31,92.33,92.36,92.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,East Asia,49.65,64.99,72.25,78.47,83.59,86.49,89.51,92.15,93.45,94.49,95.44,96.3,96.7,97.0,97.24,97.38,97.47,97.55,97.6,97.65,97.69,97.72,97.75,97.77,97.79,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,Europe,47.0,60.31,73.6,80.33,83.82,88.4,90.66,91.97,93.09,94.19,94.98,95.7,96.41,96.92,97.38,97.71,98.02,98.27,98.48,98.66,98.82,98.96,99.03,99.1,99.16,99.21,99.26,99.29,99.33,99.34,99.36,99.37,99.37,99.37,99.37,99.37,99.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,North Africa,25.5,43.77,56.27,62.57,67.93,71.38,75.59,78.31,80.33,82.4,84.27,85.6,86.81,88.26,89.28,90.18,91.11,91.79,92.37,92.83,93.33,93.72,94.06,94.36,94.59,94.78,94.91,95.04,95.16,95.28,95.38,95.47,95.55,95.62,95.7,95.76,95.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,North America,42.82,59.76,68.32,74.35,79.24,82.03,85.67,87.14,88.44,89.65,90.9,91.85,92.75,93.44,94.1,94.63,95.21,95.64,96.05,96.41,96.75,96.97,97.16,97.38,97.56,97.7,97.83,97.94,98.04,98.13,98.2,98.28,98.34,98.4,98.45,98.49,98.51,98.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,Northeast Asia,28.5,45.73,57.7,64.61,69.54,74.04,77.95,80.74,82.6,84.02,85.43,86.63,87.61,88.29,88.87,89.33,89.68,89.95,90.2,90.44,90.63,90.81,90.98,91.12,91.24,91.34,91.42,91.48,91.53,91.58,91.61,91.64,91.65,91.67,91.68,91.69,91.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,Oceania,52.33,60.37,67.59,73.94,77.19,80.54,83.58,85.0,86.16,87.21,87.93,88.76,89.51,90.19,90.49,90.73,90.98,91.18,91.38,91.63,91.77,91.91,92.09,92.27,92.39,92.5,92.64,92.69,92.74,92.78,92.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
